meanX,sdX,rangeX,meanY,sdY,rangeY,meanZ,sdZ,rangeZ,wristArmed,label,studentId
-0.1308,0.0207,0.0770,-0.0185,0.0317,0.1056,-1.0174,0.0395,0.1477,0,still,11611553
-0.1364,0.0164,0.0761,-0.0362,0.0210,0.0948,-1.0255,0.0300,0.0988,0,still,11611553
-0.1466,0.0190,0.0768,-0.0460,0.0163,0.0623,-1.0132,0.0303,0.1126,0,still,11611553
-0.1543,0.0142,0.0428,-0.0597,0.0240,0.0890,-1.0049,0.0328,0.1329,0,still,11611553
-0.1406,0.0319,0.0963,-0.0945,0.0574,0.1958,-0.9947,0.0247,0.0854,0,still,11611553
-0.1182,0.0472,0.1361,-0.1429,0.0823,0.3086,-0.9932,0.0301,0.1052,0,still,11611553
-0.0880,0.0537,0.2130,-0.2004,0.0851,0.2817,-0.9836,0.0405,0.1414,0,still,11611553
-0.0206,0.1427,0.6565,-0.2153,0.1241,0.4895,-0.8461,0.3089,1.1991,1,still,11611553
0.3720,0.6747,2.0358,-0.2650,0.1608,0.6380,-0.5596,0.5095,1.3042,1,still,11611553
0.6408,0.6665,2.0358,-0.3036,0.1653,0.6380,-0.3559,0.4556,1.3041,1,still,11611553
0.8951,0.5377,2.0015,-0.3086,0.1648,0.6380,-0.1144,0.3066,1.1726,1,still,11611553
1.0892,0.2914,1.0982,-0.3411,0.0969,0.4599,-0.0044,0.1432,0.5437,1,still,11611553
0.9793,0.0916,0.3189,-0.3138,0.0522,0.1439,-0.0289,0.1044,0.3550,1,still,11611553
0.9794,0.0687,0.2133,-0.2827,0.0243,0.1065,0.0250,0.0285,0.1125,1,still,11611553
0.9792,0.0623,0.2053,-0.2685,0.0144,0.0575,0.0319,0.0217,0.0771,1,right,11611553
1.0029,0.0342,0.1096,-0.2579,0.0148,0.0531,0.0362,0.0171,0.0647,1,still,11611553
0.9907,0.0246,0.0844,-0.2485,0.0146,0.0456,0.0330,0.0123,0.0450,1,still,11611553
0.9826,0.0166,0.0613,-0.2376,0.0095,0.0299,0.0350,0.0133,0.0468,1,still,11611553
0.9799,0.0590,0.3031,-0.2333,0.0075,0.0293,-0.0867,0.2721,1.0072,1,right,11611553
0.9534,0.1287,0.5413,-0.2415,0.0192,0.0554,-0.1930,0.3771,1.2944,1,right,11611553
0.9774,0.1441,0.5413,-0.2361,0.0277,0.1097,-0.0419,0.5312,1.7214,1,right,11611553
