meanAx,sdAx,rangeAx,meanAy,sdAy,rangeAy,meanAz,sdAz,rangeAz,meanGx,sdGx,rangeGx,meanGy,sdGy,rangeGy,meanGz,sdGz,rangeGz,label,studentId
0.8008,0.288,0.89,-0.4542,0.1431,0.5284,-0.4583,0.2262,-0.8181,10.6038,23.5426,-91.3086,-212.203,39.9615,-123.9624,35.0464,25.8482,-115.6006,right,11804106
1.0418,0.3892,1.3517,-0.3218,0.0596,0.2267,-0.3155,0.1669,-0.6155,8.1706,54.564,-197.998,-274.585,96.7618,-284.8511,58.2845,28.1365,-91.6748,right,11804106
0.8889,0.3174,0.9453,-0.2061,0.047,0.1871,-0.3538,0.1964,-0.6565,-6.1076,10.0733,-32.4097,-221.3582,53.3871,-168.6401,21.4355,18.4898,-54.9927,right,11804106
0.7579,0.4826,1.2775,-0.271,0.0707,0.2662,-0.44,0.2359,-0.7814,-21.8831,26.3496,-100.4028,-228.2186,89.965,-241.7603,14.856,20.2047,-66.4062,right,11804106
1.0292,0.3318,1.1537,-0.1923,0.0896,0.2777,-0.35,0.2017,-0.65,47.4569,42.0898,-167.0532,-259.2,87.5492,-295.7153,46.8262,21.701,-80.7495,right,11804106
0.8182,0.4247,1.218,-0.3703,0.0947,0.3217,-0.3288,0.2087,-0.8082,-19.0389,16.7717,-68.6035,-221.285,87.3118,-283.3252,68.6483,33.9574,-92.7734,right,11804106
0.8863,0.4584,1.2894,-0.2416,0.0804,0.2662,-0.4261,0.1597,-0.4645,6.3192,22.458,-62.3779,-243.689,80.3898,-236.3281,49.7884,16.3405,-48.5229,right,11804106
0.8423,0.2991,0.9293,-0.4401,0.0737,0.2809,-0.4255,0.2232,-0.7333,-34.4442,13.1041,-51.5747,-234.0861,36.658,-104.248,80.1351,18.6659,-67.749,right,11804106
0.8655,0.2561,0.8962,-0.1986,0.069,0.2588,-0.4191,0.2488,-0.7947,14.9536,21.392,-66.1621,-199.4751,32.2768,-108.3374,21.6105,9.8167,-37.4756,right,11804106
0.9161,0.3152,0.9968,-0.3265,0.1294,0.4306,-0.304,0.2482,-0.7407,-31.2703,16.1197,-53.9551,-238.8062,42.2174,-156.1279,32.9549,9.2403,-28.9917,right,11804106
1.0267,0.4239,1.3573,-0.2391,0.1152,0.4473,-0.3326,0.2884,-0.9307,-10.6038,23.4953,-73.1201,-267.9891,117.278,-425.9033,24.585,22.6997,-89.2334,right,11804106
0.9745,0.3837,1.094,-0.2546,0.0577,0.2429,-0.377,0.1917,-0.5854,7.5114,18.3988,-68.2373,-263.3667,82.3203,-306.0303,32.6701,13.6334,-53.1616,right,11804106
0.6985,0.3929,1.0946,-0.1037,0.0517,0.1863,-0.5704,0.2817,-0.7943,-4.9154,21.5364,-73.3643,-213.6271,76.4562,-206.543,8.8379,20.2835,-73.1201,right,11804106
0.6279,0.3953,1.0598,-0.1041,0.0568,0.188,-0.598,0.1743,-0.5161,-6.8115,24.0921,-73.5474,-183.195,87.46,-247.7417,1.888,11.7507,-48.5229,right,11804106
0.3058,0.1914,0.6714,-0.2899,0.0859,0.3342,-0.6509,0.3517,-0.9409,7.6864,11.6638,-51.3306,-107.5521,89.6476,-282.8979,18.7052,17.1561,-61.4624,right,11804106
