meanAx,sdAx,rangeAx,meanAy,sdAy,rangeAy,meanAz,sdAz,rangeAz,meanGx,sdGx,rangeGx,meanGy,sdGy,rangeGy,meanGz,sdGz,rangeGz,label,studentId
1.0576,0.2980,1.2125,-0.1328,0.0964,0.3707,-0.2918,0.2344,0.8190,-20.0399,30.9452,107.1777,-262.8174,117.6682,365.2344,-14.7502,24.7430,81.9092,left,11804106
1.0521,0.2998,1.1661,-0.1044,0.1411,0.5028,-0.2892,0.1788,0.4996,8.6507,57.4086,200.6836,-266.4144,162.2185,413.4521,-8.7891,15.9790,46.8750,left,11804106
0.9573,0.3063,1.1832,-0.1663,0.1183,0.4251,-0.3013,0.2030,0.6874,-18.3879,32.7094,108.2764,-282.0760,127.0664,388.2446,-5.7780,22.3702,71.7773,left,11804106
1.0054,0.3295,1.1473,-0.1126,0.0975,0.3537,-0.2845,0.1701,0.6409,7.3975,43.2185,138.2446,-271.3582,139.2002,412.9028,-0.5127,39.3054,138.1226,left,11804106
1.0880,0.2914,1.0500,-0.1603,0.1160,0.4268,-0.2966,0.2128,0.7289,-7.2306,29.7750,102.9663,-278.2104,165.9596,483.3984,-10.1807,32.8472,133.9722,left,11804106
0.8906,0.3102,0.9035,-0.1162,0.0789,0.2667,-0.4017,0.1716,0.5306,16.1987,59.9615,183.9600,-272.7743,85.9347,280.4565,-47.2656,42.5112,113.7695,left,11804106
0.9014,0.2297,1.0155,-0.0724,0.1732,0.7068,-0.6331,0.0997,0.3960,29.1992,54.7597,155.2124,-213.6353,134.1864,382.8125,-44.7103,45.5375,138.9771,left,11804106
0.9707,0.3478,1.2399,-0.0110,0.0973,0.3150,-0.3689,0.2072,0.6835,29.0039,23.2085,76.2329,-283.8338,138.7621,374.5117,-21.1426,32.9199,112.1826,left,11804106
0.8992,0.3550,1.1452,-0.0194,0.1333,0.4276,-0.2785,0.2985,0.8249,20.3410,20.1132,67.0166,-346.0856,76.2301,248.0469,12.2396,42.8633,142.7002,left,11804106
1.0412,0.1833,0.8080,-0.1245,0.0332,0.1185,-0.3293,0.1868,0.6077,16.3249,33.9718,124.8779,-217.4520,150.6583,437.3169,2.3315,21.3205,67.7490,left,11804106
0.9360,0.2502,0.8832,-0.0709,0.1222,0.4525,-0.3914,0.1676,0.5281,42.3706,65.6035,179.5044,-278.4383,123.4416,373.5962,8.6019,19.4307,67.0166,left,11804106
0.8613,0.2654,0.8848,-0.0105,0.0516,0.1790,-0.5217,0.1498,0.5554,-5.8879,39.0214,121.3379,-249.3571,95.2676,282.4097,-48.7712,24.7582,79.4067,left,11804106
1.0068,0.2170,0.8793,-0.0035,0.0593,0.1985,-0.4128,0.2527,0.7862,-4.4596,17.8366,69.9463,-268.0786,99.0222,287.7808,-39.1927,23.7053,96.2524,left,11804106
1.0566,0.2670,1.0585,-0.0734,0.0926,0.3129,-0.3077,0.2064,0.6967,18.3919,31.5536,100.9521,-229.1301,130.4272,382.1411,-30.3752,29.9365,107.6050,left,11804106
0.9556,0.2987,1.0794,0.0349,0.0916,0.3225,-0.4847,0.1306,0.3976,35.9253,33.5104,114.0137,-212.2355,104.8823,318.1763,-25.7161,23.3062,92.1631,left,11804106
0.9958,0.3127,1.0635,-0.1026,0.1380,0.3689,-0.3592,0.1968,0.7752,4.6834,41.1498,134.0332,-248.3846,101.9645,354.8584,-43.1763,45.6148,123.0469,left,11804106
0.9488,0.2803,0.9883,-0.1340,0.1044,0.3142,-0.4149,0.1214,0.3615,4.7323,43.3929,140.1367,-244.9382,100.0152,294.5557,-40.3402,46.0401,133.7891,left,11804106
0.9226,0.3626,1.1400,-0.1057,0.0774,0.2587,-0.4040,0.2493,0.7635,13.0819,22.0726,64.5752,-275.3662,130.6400,339.2334,-12.5651,34.7300,110.9619,left,11804106
0.9269,0.3327,1.0992,-0.1469,0.0837,0.3104,-0.4025,0.2505,0.7123,-17.9036,18.3387,67.1387,-268.3390,123.4149,349.3042,-33.2438,20.1183,66.2231,left,11804106
1.0142,0.2826,1.0812,-0.1159,0.0780,0.2988,-0.2935,0.2329,0.7694,3.5970,22.5664,73.5474,-284.9609,125.3887,379.5776,-43.4611,28.3911,85.7544,left,11804106
1.0308,0.3929,1.2067,-0.1358,0.0463,0.1927,-0.3069,0.1790,0.6458,0.1628,13.0067,47.0581,-295.5811,147.9235,427.7954,-20.8862,24.2515,69.2749,left,11804106
1.0264,0.3003,1.1277,-0.1141,0.0822,0.2682,-0.2481,0.1619,0.5468,15.0879,30.6654,87.2192,-244.3807,145.7903,448.8525,-52.4821,26.2945,82.8247,left,11804106
1.0614,0.2564,1.0275,-0.0687,0.0583,0.1807,-0.2882,0.1754,0.6196,9.7738,26.4832,84.2285,-243.3268,144.4403,426.9409,-17.9240,24.4439,69.0918,left,11804106
0.9672,0.3037,1.0577,-0.1905,0.0826,0.2934,-0.3294,0.1925,0.5701,-3.9429,20.8499,68.4814,-264.5060,176.3879,445.0073,-23.3358,32.1951,99.7925,left,11804106
1.0023,0.2947,1.0224,-0.0893,0.1256,0.3481,-0.2994,0.1976,0.7748,-26.5340,38.2981,115.1123,-263.1673,125.3370,363.0371,-16.2191,29.7657,93.2617,left,11804106
0.9618,0.3293,1.1937,-0.0813,0.1430,0.5857,-0.2719,0.2124,0.8101,41.8132,28.7016,85.0220,-238.5539,143.6296,405.7007,-7.0109,27.0693,85.2051,left,11804106
1.0344,0.3551,1.1638,-0.1418,0.0540,0.1678,-0.2143,0.2399,0.7197,-14.8641,25.9095,81.2378,-258.5287,144.8562,432.2510,-3.9754,22.4046,77.3926,left,11804106
0.9867,0.3920,1.2850,-0.1334,0.0436,0.1524,-0.3605,0.1562,0.5729,-5.8390,19.7172,63.3545,-268.7541,121.8011,361.9385,-10.3516,30.8157,100.4639,left,11804106
0.9549,0.2959,1.0063,-0.1855,0.0856,0.2985,-0.4201,0.1730,0.6059,-10.3923,23.0561,76.1108,-281.1239,118.4989,340.8813,-29.9927,26.9295,83.8623,left,11804106
1.0935,0.3014,1.1589,-0.0917,0.0611,0.2026,-0.2587,0.1734,0.5498,21.1548,18.8103,67.1387,-303.2878,146.7843,419.6777,-6.7424,16.2690,56.1523,left,11804106
1.0143,0.3390,1.2300,-0.1096,0.1051,0.4121,-0.3014,0.1911,0.6658,8.5449,40.0236,123.5352,-249.7477,137.1245,382.2632,-25.7975,26.6686,78.0029,left,11804106
0.9842,0.3094,1.0869,-0.1550,0.0567,0.2167,-0.2994,0.1973,0.6466,2.4251,21.0502,90.3320,-278.7272,118.4317,351.2573,7.5480,18.6692,62.0728,left,11804106
1.0313,0.2985,1.1688,-0.0569,0.1039,0.3284,-0.2607,0.1526,0.4508,32.1981,23.7976,71.7773,-250.1790,136.8633,383.1177,-13.9038,25.5402,92.4072,left,11804106
0.7868,0.3471,0.9655,-0.1389,0.0404,0.1791,-0.5410,0.1911,0.6849,11.1613,14.4959,54.9316,-235.5754,42.4335,157.0435,25.8301,28.9079,98.5718,left,11804106
0.9929,0.2808,0.9430,-0.0837,0.0852,0.3033,-0.3520,0.1985,0.6432,12.4390,11.8789,45.4102,-251.1149,132.4303,357.6050,-16.8254,26.5458,88.9282,left,11804106
0.8919,0.3813,1.1000,-0.0537,0.0726,0.2581,-0.2777,0.2683,0.9457,35.4207,25.7383,77.8809,-290.7674,97.1168,310.8521,-21.8587,16.0058,64.6362,left,11804106
1.0449,0.2968,1.0898,-0.1593,0.0755,0.3149,-0.2357,0.2123,0.7803,-2.2095,18.1635,60.4858,-263.7614,137.1238,374.7559,11.5763,15.4788,46.4478,left,11804106
0.8963,0.3468,1.0319,-0.1092,0.0923,0.3023,-0.3624,0.2695,0.9509,15.2791,19.1353,62.0728,-268.1030,100.8879,299.1333,-21.4844,18.2029,58.3496,left,11804106
0.9588,0.3075,1.0327,-0.1009,0.0722,0.2585,-0.3126,0.2910,0.9553,1.4730,9.9323,33.5083,-267.5537,104.8009,324.1577,-3.7882,15.8184,50.7812,left,11804106
0.9237,0.3871,1.1259,-0.1452,0.1299,0.4003,-0.2417,0.2297,0.7446,-18.6808,27.9294,89.8438,-265.3402,111.6117,336.7920,-19.7347,18.8841,59.2651,left,11804106
0.9767,0.3894,1.2919,-0.0327,0.1433,0.4594,-0.2545,0.2324,0.8157,41.6056,15.5143,54.5044,-259.1553,162.7853,447.6318,13.2284,23.2002,68.8477,left,11804106
1.0658,0.3232,1.2498,-0.1393,0.0379,0.1780,-0.2873,0.1448,0.4821,-5.9448,20.7394,69.0918,-254.1260,162.9877,456.1768,-10.6527,12.3849,40.2222,left,11804106
0.9871,0.3002,1.0803,-0.1316,0.1002,0.3902,-0.3564,0.1968,0.7761,11.2305,24.1538,80.8716,-268.2169,140.4472,419.0063,9.8022,12.8258,44.4946,left,11804106
0.9318,0.3322,1.0222,-0.0817,0.0248,0.0960,-0.4321,0.2201,0.6782,-18.4285,21.2702,60.6079,-237.7523,94.3235,292.7246,-2.6896,13.6895,38.9404,left,11804106
0.8936,0.2822,1.1277,-0.0742,0.0867,0.3673,-0.2164,0.0966,0.3928,60.2783,76.6241,225.0366,-148.8118,182.5073,525.2075,9.8145,40.2149,175.7202,up,11804106
0.8176,0.2395,0.8561,0.0265,0.0779,0.3357,-0.3895,0.1383,0.4639,38.0737,53.2671,214.8438,-196.6024,139.9553,378.8452,29.0609,32.2018,137.2070,up,11804106
0.9292,0.2442,0.6985,0.1924,0.0595,0.1827,-0.2638,0.1698,0.4585,23.1364,31.3492,126.8311,-212.1745,181.2861,505.2490,77.6855,62.8412,178.9551,up,11804106
1.0453,0.3031,1.1274,0.1896,0.0988,0.3384,-0.0671,0.1286,0.3794,4.3172,43.9416,159.9121,-250.6714,202.1122,532.4097,94.1162,94.0700,253.6011,up,11804106
1.0253,0.2191,0.8671,0.2552,0.0590,0.2070,-0.3363,0.0815,0.2974,51.6154,48.1754,146.7896,-167.7246,177.4087,465.4541,54.7160,59.4286,166.1987,up,11804106
0.9445,0.3382,1.3353,0.0951,0.0767,0.3063,-0.2393,0.0742,0.2599,49.1903,41.4874,130.6763,-179.2480,163.7843,443.1152,-20.8048,25.2293,76.5381,up,11804106
0.9985,0.2620,1.0503,0.2203,0.0466,0.1430,-0.1588,0.1327,0.4494,34.1105,33.3112,118.5303,-222.0011,145.0396,417.8467,35.2498,43.6352,178.0396,up,11804106
0.9720,0.1721,0.7240,0.0851,0.0373,0.1198,-0.2212,0.1294,0.3901,5.3670,29.2325,120.3003,-207.3405,144.9257,393.1274,-8.6833,20.2455,95.1538,up,11804106
0.9851,0.2280,0.8839,0.0938,0.0765,0.2534,-0.3134,0.1191,0.3226,87.1826,64.8691,215.1489,-194.8446,143.2236,394.2871,0.5697,62.0338,201.6602,up,11804106
1.0068,0.1813,0.7610,0.1756,0.0872,0.2732,-0.2830,0.1093,0.3492,92.8426,66.7990,194.5801,-186.5031,146.3485,421.0815,22.0093,50.8007,161.5601,up,11804106
0.8648,0.1731,0.6907,0.1489,0.0248,0.0710,-0.3907,0.0817,0.2234,60.8561,32.1797,94.2993,-163.1266,137.3914,371.0938,27.9460,29.4634,81.4819,up,11804106
0.8610,0.2950,1.0361,0.0804,0.1171,0.3718,-0.3152,0.2184,0.6215,46.1873,47.2025,158.3252,-227.1810,102.0315,268.2495,17.8670,28.4081,115.9058,up,11804106
0.9439,0.2530,1.0493,0.0938,0.1039,0.3687,-0.1882,0.1450,0.4652,11.0555,39.0718,147.1558,-269.6818,149.4982,407.9590,35.8032,61.1069,195.9229,up,11804106
0.8106,0.2123,0.9345,0.1914,0.0501,0.1562,-0.3668,0.1205,0.3654,65.4378,42.3940,153.1982,-157.5562,131.9632,383.0566,12.3779,17.1261,63.4155,up,11804106
0.9164,0.2996,1.0160,0.1833,0.0695,0.2200,-0.1987,0.0791,0.3724,78.3569,65.8669,228.6987,-146.1629,142.1786,415.5884,3.7354,13.0990,49.8047,up,11804106
0.7266,0.1350,0.5699,0.0551,0.0389,0.1577,-0.6165,0.1003,0.3871,27.4089,34.0929,98.9990,-103.6540,114.8914,340.3931,10.4329,35.6166,108.6426,up,11804106
0.9433,0.3045,0.9623,-0.0226,0.0826,0.2524,0.1601,0.3018,1.0474,4.1016,32.0147,101.7456,-285.8927,125.6621,380.4932,26.9409,45.8090,138.8550,up,11804106
0.1964,0.0178,0.0575,-0.1133,0.0062,0.0181,-0.9693,0.0090,0.0275,5.6288,11.1074,35.0342,-20.3857,4.0781,11.7188,11.0202,4.6388,13.4277,up,11804106
