meanAx,sdAx,rangeAx,meanAy,sdAy,rangeAy,meanAz,sdAz,rangeAz,meanGx,sdGx,rangeGx,meanGy,sdGy,rangeGy,meanGz,sdGz,rangeGz,label,studentId
0.9259,0.1794,0.6953,-0.0315,0.0526,0.1885,-0.362,0.0649,0.3106,56.486,64.6965,203.3081,-177.3315,200.971,588.623,38.6963,52.439,159.9121,push,11611553
0.8083,0.2328,0.7886,-0.0725,0.087,0.309,-0.5395,0.0922,0.3224,67.8589,70.5391,198.4253,-193.4001,187.6003,500.7324,49.9552,46.8647,133.2397,push,11611553
0.8844,0.1149,0.4974,-0.1123,0.0477,0.1501,-0.4982,0.0503,0.201,42.8101,58.3773,182.0679,-134.5662,190.7557,602.0508,30.5583,53.7389,169.4946,push,11611553
0.7951,0.2008,0.7077,-0.0879,0.0745,0.2463,-0.5598,0.0854,0.2319,60.966,67.7051,186.9507,-185.9538,163.6515,440.3687,51.0579,39.9665,119.4458,push,11611553
0.9023,0.1622,0.6225,-0.0242,0.0748,0.28,-0.499,0.057,0.2235,58.7118,70.5878,219.6655,-162.7604,185.372,523.1323,35.0423,39.8533,107.7881,push,11611553
0.8646,0.2008,0.7618,-0.079,0.0857,0.3263,-0.544,0.052,0.2388,51.2207,65.7852,189.0259,-146.6878,193.9566,514.7705,41.1418,53.3383,134.8877,push,11611553
0.8484,0.2257,0.7497,-0.1015,0.092,0.3124,-0.5687,0.0942,0.3012,63.6475,60.1657,163.8794,-174.1862,154.9153,422.4854,44.9341,37.4205,99.2432,push,11611553
0.7196,0.2349,0.7604,-0.1056,0.1044,0.352,-0.6846,0.1094,0.3421,56.8604,30.1661,87.5854,-157.1899,71.1485,231.1401,37.4593,20.5663,64.9414,push,11611553
0.8001,0.2051,0.7516,-0.1156,0.0746,0.2855,-0.5793,0.0635,0.2363,63.3138,61.3888,172.8516,-176.3428,166.1777,452.3315,45.4427,42.229,129.2114,push,11611553
0.7827,0.1723,0.6101,-0.1039,0.0882,0.3187,-0.6226,0.0407,0.1713,55.6803,64.8675,172.5464,-157.2388,165.2259,445.7397,47.2656,45.1501,116.5771,push,11611553
0.8333,0.1342,0.5375,-0.1431,0.0437,0.1619,-0.5487,0.0288,0.1234,52.9419,60.2451,180.542,-161.2793,177.8428,518.3716,42.3381,50.9962,147.1558,push,11611553
0.8122,0.27,0.8978,-0.1198,0.1118,0.3907,-0.5743,0.1287,0.3793,78.3488,61.9492,162.7197,-203.6621,150.7111,373.0469,45.2067,32.6886,99.1821,push,11611553
0.7767,0.2173,0.7441,-0.1171,0.082,0.2814,-0.5576,0.0773,0.2307,63.3016,56.4386,178.2837,-180.5135,164.4071,488.8916,58.1665,52.2742,146.4233,push,11611553
